,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.883±0.003,0.930±0.002,0.906±0.002,4944.000±0.000,nan±nan
Income > 50K,0.734±0.007,0.610±0.011,0.666±0.008,1568.200±0.447,nan±nan
accuracy,0.853±0.003,0.853±0.003,0.853±0.003,0.853±0.003,0.909±0.002
macro avg,0.808±0.005,0.770±0.005,0.786±0.005,6512.200±0.447,nan±nan
weighted avg,0.847±0.003,0.853±0.003,0.848±0.003,6512.200±0.447,nan±nan
