,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.919±0.004,0.792±0.016,0.851±0.008,4944.000±0.000,nan±nan
Income > 50K,0.544±0.014,0.780±0.016,0.641±0.005,1568.200±0.447,nan±nan
accuracy,0.789±0.008,0.789±0.008,0.789±0.008,0.789±0.008,0.869±0.005
macro avg,0.731±0.006,0.786±0.002,0.746±0.006,6512.200±0.447,nan±nan
weighted avg,0.829±0.002,0.789±0.008,0.800±0.007,6512.200±0.447,nan±nan
