,CLUSTERING_DBSCAN
bike,"'n_clusters': None
 'eps': 0.6
 'min_samples': 8
 'metric': 'euclidean'
 'algorithm': 'auto'
 'lr_alpha': 0.1"
diamond,"'n_clusters': None
 'eps': 0.5
 'min_samples': 8
 'metric': 'euclidean'
 'algorithm': 'auto'
 'lr_alpha': 0.1"
