,precision,recall,f1-score,support,ROC_AUC
No College,0.845360824742268,0.82,0.83248730964467,100.0,
College,0.8252427184466019,0.85,0.8374384236453202,100.0,
accuracy,0.835,0.835,0.835,0.835,0.9269
macro avg,0.835301771594435,0.835,0.8349628666449951,200.0,
weighted avg,0.835301771594435,0.835,0.8349628666449951,200.0,
