,precision,recall,f1-score,support,ROC_AUC
College,0.854±0.030,0.868±0.024,0.860±0.014,100.000±0.000,nan±nan
No College,0.866±0.019,0.850±0.037,0.857±0.018,100.000±0.000,nan±nan
accuracy,0.859±0.016,0.859±0.016,0.859±0.016,0.859±0.016,0.941±0.013
macro avg,0.860±0.016,0.859±0.016,0.859±0.016,200.000±0.000,nan±nan
weighted avg,0.860±0.016,0.859±0.016,0.859±0.016,200.000±0.000,nan±nan
