,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.001,0.002,0.001,0.548,
Potable,0.447,0.003,0.007,0.548,
accuracy,0.001,0.001,0.001,0.001,0.016
macro avg,0.224,0.001,0.003,0.447,
weighted avg,0.175,0.001,0.003,0.447,
