,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.610±0.001,0.999±0.002,0.758±0.001,399.600±0.548,nan±nan
Potable,0.300±0.447,0.002±0.003,0.005±0.007,255.600±0.548,nan±nan
accuracy,0.610±0.001,0.610±0.001,0.610±0.001,0.610±0.001,0.499±0.016
macro avg,0.455±0.224,0.501±0.001,0.381±0.003,655.200±0.447,nan±nan
weighted avg,0.489±0.175,0.610±0.001,0.464±0.003,655.200±0.447,nan±nan
