,precision,recall,f1-score,support,ROC_AUC
Bad,0.7125693160813309,0.750730282375852,0.7311522048364154,1027.0,
Good,0.7130044843049327,0.6715945089757128,0.6916802610114192,947.0,
accuracy,0.7127659574468085,0.7127659574468085,0.7127659574468085,0.7127659574468085,0.7769536146021515
macro avg,0.7127869001931317,0.7111623956757824,0.7114162329239173,1974.0,
weighted avg,0.71277808219468,0.7127659574468085,0.7122160696782232,1974.0,
