,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.952±0.001,0.920±0.126,0.932±0.070,972.200±0.447,nan±nan
Stroke,0.022±0.030,0.088±0.140,0.034±0.046,49.800±0.447,nan±nan
accuracy,0.880±0.113,0.880±0.113,0.880±0.113,0.880±0.113,0.592±0.042
macro avg,0.487±0.015,0.504±0.007,0.483±0.017,1022.000±0.000,nan±nan
weighted avg,0.906±0.002,0.880±0.113,0.888±0.064,1022.000±0.000,nan±nan
