,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.688±0.012,0.785±0.015,0.733±0.010,792.600±0.548,nan±nan
Recidivism,0.683±0.017,0.565±0.025,0.618±0.019,650.200±0.447,nan±nan
accuracy,0.686±0.013,0.686±0.013,0.686±0.013,0.686±0.013,0.732±0.012
macro avg,0.685±0.013,0.675±0.013,0.676±0.014,1442.800±0.447,nan±nan
weighted avg,0.686±0.013,0.686±0.013,0.681±0.013,1442.800±0.447,nan±nan
