,precision,recall,f1-score,support,ROC_AUC
College,0.041,0.037,0.011,0.000,
No College,0.027,0.047,0.015,0.000,
accuracy,0.012,0.012,0.012,0.012,0.005
macro avg,0.014,0.012,0.012,0.000,
weighted avg,0.014,0.012,0.012,0.000,
