,precision,recall,f1-score,support,ROC_AUC
Churn,0.020,0.038,0.031,0.447,
No Churn,0.011,0.003,0.006,0.447,
accuracy,0.011,0.011,0.011,0.011,0.015
macro avg,0.015,0.019,0.019,0.548,
weighted avg,0.013,0.011,0.013,0.548,
