,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.655±0.016,0.870±0.046,0.747±0.020,399.600±0.548,nan±nan
Potable,0.592±0.089,0.283±0.060,0.378±0.057,255.600±0.548,nan±nan
accuracy,0.641±0.024,0.641±0.024,0.641±0.024,0.641±0.024,0.627±0.026
macro avg,0.624±0.049,0.577±0.025,0.563±0.032,655.200±0.447,nan±nan
weighted avg,0.631±0.041,0.641±0.024,0.603±0.027,655.200±0.447,nan±nan
