,precision,recall,f1-score,support,ROC_AUC
Churn,0.669,0.526,0.589,373.800,
No Churn,0.841,0.906,0.873,1034.800,
accuracy,0.805,0.805,0.805,0.805,0.842
macro avg,0.755,0.716,0.731,1408.600,
weighted avg,0.796,0.805,0.797,1408.600,
